"Player","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST.x","STL","BLK","TOV","PF","PS.G","TEAM","AGE","HEIGHT","WEIGHT","DRAFT.ROUND","DRAFT.NUMBER","GP","PTS","REB","AST.y","NETRTG","OREB.","DREB.","USG.","TS.","AST.","heightnum"
"David West",37,"GSW",73,0,13.7,3,5.2,0.571,0,0.1,0.375,2.9,5.1,0.576,0.575,0.8,1.1,0.759,0.9,2.4,3.3,1.9,0.6,1,1.1,1.6,6.8,"GSW",37,"6-9",250,"1","18",12,4.2,2.4,2.1,1.6,"6.2%","19.5%","14.9%","62.9%","26.6%",81
"Davis Bertans",25,"SAS",77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9,"SAS",25,"6-10",210,"2","42",5,3.4,2.2,1.2,-2.2,"1.4%","14.5%","12.5%","37.2%","9.5%",72
"DeAndre Liggins",29,"TOT",58,4,12.5,0.7,1.8,0.377,0.3,0.9,0.358,0.4,0.9,0.396,0.467,0,0.1,0.4,0.1,1.2,1.3,0.8,0.6,0.2,0.3,1.4,1.7,"NOP",30,"6-6",209,"2","53",3,0.3,0.3,0,-68.5,"0.0%","8.3%","12.0%","26.6%","0.0%",78
"DeAndre Liggins",29,"MIL",31,1,15.5,0.7,2.1,0.338,0.4,1.2,0.306,0.4,0.9,0.379,0.423,0.1,0.2,0.4,0.2,1.4,1.6,0.9,0.9,0.3,0.4,2,1.8,"NOP",30,"6-6",209,"2","53",3,0.3,0.3,0,-68.5,"0.0%","8.3%","12.0%","26.6%","0.0%",78
"DeAndre Liggins",29,"NOP",27,3,9,0.7,1.5,0.439,0.3,0.6,0.471,0.4,0.9,0.417,0.537,0,0,NA,0.1,0.9,1,0.8,0.4,0.1,0.3,0.7,1.6,"NOP",30,"6-6",209,"2","53",3,0.3,0.3,0,-68.5,"0.0%","8.3%","12.0%","26.6%","0.0%",78
"Dejounte Murray",21,"SAS",81,48,21.5,3.3,7.5,0.443,0.1,0.4,0.265,3.2,7.1,0.454,0.451,1.3,1.8,0.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1,"SAS",21,"6-5",170,"1","29",5,7.8,4.2,1.8,-8.7,"4.1%","20.2%","20.2%","55.8%","18.0%",77
"Delon Wright",25,"TOR",69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4,0.52,0.53,1.4,1.7,0.829,0.7,2.2,2.9,2.9,1,0.5,1.1,1.2,8,"TOR",26,"6-5",190,"1","20",10,8.6,2.2,2.3,-0.7,"1.6%","10.8%","18.1%","57.3%","17.8%",77
"DeMar DeRozan",28,"TOR",80,80,33.9,8.1,17.7,0.456,1.1,3.6,0.312,7,14.1,0.493,0.488,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23,"TOR",28,"6-7",220,"1","9",10,22.7,3.6,4,-7,"2.0%","10.8%","30.7%","51.1%","20.2%",79
"Derrick Favors",26,"UTA",77,77,28,5.1,9.1,0.563,0.2,0.8,0.222,4.9,8.3,0.596,0.573,1.8,2.8,0.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3,"UTA",26,"6-10",265,"1","3",11,9.3,5.2,1.2,7.6,"7.7%","14.6%","14.3%","61.8%","6.7%",72
"Derrick Rose",29,"CLE",16,7,19.3,3.6,8.3,0.439,0.4,1.5,0.25,3.3,6.8,0.481,0.462,2.2,2.6,0.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8,"MIN",29,"6-3",190,"1","1",5,14.2,1.8,2.6,-2.3,"1.0%","7.5%","25.6%","59.1%","17.1%",75
"Derrick Rose",29,"TOT",25,7,16.8,3.2,7.4,0.435,0.3,1.2,0.233,3,6.2,0.474,0.454,1.6,1.8,0.87,0.5,0.9,1.4,1.5,0.3,0.2,1.4,0.6,8.4,"MIN",29,"6-3",190,"1","1",5,14.2,1.8,2.6,-2.3,"1.0%","7.5%","25.6%","59.1%","17.1%",75
"Derrick Rose",29,"MIN",9,0,12.4,2.6,6,0.426,0.1,0.7,0.167,2.4,5.3,0.458,0.435,0.6,0.6,1,0.3,0.3,0.7,1.2,0.4,0,0.8,0.2,5.8,"MIN",29,"6-3",190,"1","1",5,14.2,1.8,2.6,-2.3,"1.0%","7.5%","25.6%","59.1%","17.1%",75
"Derrick White",23,"SAS",17,0,8.2,0.9,1.9,0.485,0.5,0.8,0.615,0.5,1.2,0.4,0.606,0.8,1.2,0.7,0.3,1.2,1.5,0.5,0.2,0.2,0.4,0.5,3.2,"SAS",23,"6-4",190,"1","29",3,2.3,0,0.3,2.6,"0.0%","0.0%","15.4%","58.3%","7.7%",76
"Domantas Sabonis",21,"IND",74,19,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3,0.75,2.2,5.5,7.7,2,0.5,0.4,1.9,3,11.6,"IND",22,"6-10",252,"1","11",7,12.4,4.6,0.7,2.3,"10.4%","13.8%","21.8%","62.2%","4.9%",72
"Donovan Mitchell",21,"UTA",79,71,33.4,7.5,17.2,0.437,2.4,7,0.34,5.2,10.3,0.502,0.506,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5,"UTA",21,"6-3",215,"1","13",11,24.4,5.9,4.2,-1.6,"2.4%","14.5%","31.8%","51.2%","21.4%",75
"Draymond Green",27,"GSW",70,70,32.7,4,8.8,0.454,1.1,3.7,0.301,2.9,5.2,0.562,0.516,1.9,2.5,0.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11,"GSW",28,"6-7",230,"2","35",13,11.7,11.3,8.5,14,"6.7%","25.1%","17.1%","52.1%","29.5%",79
"Dwyane Wade",36,"CLE",46,3,23.2,4.3,9.5,0.455,0.5,1.5,0.329,3.8,7.9,0.479,0.482,2,2.9,0.701,0.8,3.1,3.9,3.5,0.9,0.7,2,1.8,11.2,"MIA",36,"6-4",220,"1","5",5,16.6,4.2,3.6,2.1,"2.3%","15.0%","30.2%","51.0%","28.6%",76
