"Name","age","GP","Mins","3_pt_attempt","3_pt_pct","2_pt_attempt","2_pt_pct","ft_attempt","ft_pct","off_reb","def_reb","assist","steal","blocks","TO","Fouls","Weight","net_rating","height"
"Ante Zizic",-4.40845220920969,-1.08147068179649,-5.39696142198184,-2.39443010416244,NA,-2.73175157531479,NA,-1.25133393757714,NA,-0.407636054363759,-3.14022554058693,-5.07917504450045,-4.03811142286564,-0.333978403100849,-3.31703936472133,-2.6780621785241,2.40746116870483,0.136177957256236,-2.06932735490048
"Anthony Davis",-2.27120535087737,0.779613292931797,5.19068677157357,-0.36068547848545,NA,10.6774314264512,NA,7.12821545335659,NA,6.37720170404224,9.17782502653434,0.515773659528962,5.12314413205668,15.1553983461169,3.42316036816306,0.885918199341149,2.6481729961412,1.00276495797773,-2.56698675988169
"Aron Baynes",2.71570398523138,1.0392994289404,-1.26171835648545,-2.11710129157013,NA,0.00301601057169725,NA,-1.13331211516962,NA,2.78522877312142,1.29427266357673,-2.6813398856307,-2.72936062930531,1.07414675591895,-0.833807884184978,2.07391165862957,3.20983392682608,0.482812757544835,-2.56698675988169
"Bam Adebayo",-5.1208678286538,0.519927156923199,-0.726988649740229,-2.30198716663167,NA,-0.349857226316882,NA,0.755037043350656,NA,3.18433687655706,1.29427266357673,-1.61563537057748,-1.42060983574498,1.07414675591895,-0.833807884184978,0.588919834519045,2.80864754776545,-1.81983270151515,-2.56698675988169
"Ben Simmons",-4.40845220920969,1.0392994289404,4.22817329943217,-2.30198716663167,NA,6.17829765612183,NA,2.64338620187093,NA,3.58344497999271,5.40028951928382,16.234915256564,6.43189492561701,3.18633449444864,7.68012862051109,2.37091002345167,0.802715652462328,-0.210456843032364,-2.56698675988169
"Bojan Bogdanovic",0.578457126899062,0.996018406272296,3.19436253305807,2.04283089731463,NA,0.532325865904566,NA,0.755037043350656,NA,-2.00406846810635,-0.0196527302495381,-1.61563537057748,-0.111859042184644,-2.44616614163054,0.23043417890203,-0.599073624769373,0.802715652462328,1.84459233010719,1.41428847996795
"Bradley Beal",-2.27120535087737,1.0825804516085,5.15503812445722,3.61436083533777,NA,5.64898780078897,NA,2.99745166909349,NA,-0.806744157799406,1.13003198934845,6.37714849232168,3.16001794171618,-0.333978403100849,4.8421497856124,0.588919834519045,-1.04274169121655,-1.9683904730674,-0.0786897349756613
"Brandon Jennings",0.578457126899062,-1.86052908982229,-2.58071829979033,-0.175799603423905,NA,-2.11422341075978,NA,-1.48737758239217,NA,-2.00406846810635,-1.82630014676066,2.6471826896354,-2.07498523252514,-1.03804098261075,0.23043417890203,-2.97506054334621,-4.01152089626518,4.24627630353534,-2.06932735490048
"Brandon Paul",-0.846374111989153,0.3035220435827,-4.57704253830583,-1.65488660391626,NA,-3.61393466753624,NA,-1.48737758239217,NA,-3.20139277841329,-3.30446621481521,-4.01347052944723,-2.07498523252514,-2.44616614163054,-2.60754465599666,-2.6780621785241,-1.60440262190142,17.1708024285817,-0.576349139956867
"Bryn Forbes",-2.27120535087737,0.996018406272296,-1.01217782667101,0.286415084229957,NA,-1.58491355542691,NA,-1.25133393757714,NA,-2.80228467497764,-2.97598486635864,-2.94776601439401,-2.07498523252514,-3.15022872114044,-2.60754465599666,-1.19307035441358,-2.40677538002267,-2.06742898743558,-1.07400854493807
