Player,TEAM,AGE,HEIGHT,WEIGHT,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,heightnum
OG Anunoby,TOR,20,6-8,235,1,23,10,7.9,2.1,0.7,-0.7,5.0%,6.4%,12.0%,69.5%,4.0%,80
Otto Porter Jr.,WAS,24,6-8,198,1,3,5,10.0,5.0,1.6,-4.4,0.7%,18.9%,13.3%,56.2%,7.1%,80
PJ Tucker,HOU,33,6-6,245,2,35,13,9.2,5.1,1.2,9.0,2.6%,16.9%,10.7%,68.1%,5.5%,78
Pascal Siakam,TOR,24,6-9,230,1,27,10,6.6,3.6,0.8,-3.7,6.1%,19.0%,14.9%,66.3%,7.2%,81
Pat Connaughton,POR,25,6-5,210,2,41,4,4.0,1.0,1.5,-23.1,3.5%,3.9%,12.6%,50.4%,15.4%,77
Patrick Patterson,OKC,29,6-9,230,1,14,6,1.3,1.8,0.5,-18.7,1.8%,18.5%,7.1%,66.7%,8.1%,81
Patty Mills,SAS,29,6-0,185,2,55,5,13.4,2.0,2.6,-11.7,1.2%,6.1%,18.9%,56.6%,14.3%,72
Pau Gasol,SAS,37,7-0,250,1,3,5,6.0,4.8,2.8,-13.5,2.5%,29.7%,15.5%,61.5%,24.1%,84
Paul George,OKC,28,6-9,220,1,10,6,24.7,6.0,2.7,-4.9,1.7%,13.4%,28.2%,54.5%,11.1%,81
Quinn Cook,GSW,25,6-2,179,Undrafted,Undrafted,11,7.0,2.0,0.8,9.9,1.4%,14.3%,19.6%,57.9%,8.6%,74
Rajon Rondo,NOP,32,6-1,186,1,21,9,10.3,7.6,12.2,1.7,3.2%,19.6%,18.4%,47.4%,46.2%,73
Raul Neto,UTA,26,6-1,179,2,47,8,2.6,1.3,1.3,2.2,2.9%,12.1%,16.8%,41.7%,17.9%,73
Raymond Felton,OKC,33,6-1,205,1,5,6,5.2,2.2,1.5,-3.0,2.6%,13.4%,20.7%,48.6%,20.5%,73
Richaun Holmes,PHI,24,6-10,235,2,37,3,0.0,0.3,0.3,-36.1,0.0%,11.1%,3.8%,0.0%,14.3%,72
Ricky Rubio,UTA,27,6-4,190,1,5,6,14.0,7.3,7.0,9.0,2.8%,22.0%,25.3%,47.1%,36.5%,76
Robert Covington,PHI,27,6-9,225,Undrafted,Undrafted,10,8.1,5.3,2.5,-2.8,4.0%,16.4%,14.6%,45.0%,12.8%,81
Rodney Hood,CLE,25,6-8,206,1,23,12,4.9,1.3,1.2,-20.7,1.1%,9.6%,18.5%,44.7%,11.8%,80
Rodney McGruder,MIA,26,6-4,200,Undrafted,Undrafted,4,0.5,1.0,0.0,-16.0,0.0%,25.0%,10.9%,25.0%,0.0%,76
Royce O'Neale,UTA,24,6-6,226,Undrafted,Undrafted,11,7.1,3.5,1.4,-13.6,1.2%,15.0%,13.7%,60.6%,9.4%,78
Rudy Gay,SAS,31,6-8,230,1,8,5,12.2,5.6,2.2,-7.6,5.8%,14.3%,21.6%,44.2%,13.1%,80
Rudy Gobert,UTA,25,7-1,245,1,27,11,13.2,10.7,1.0,-2.1,12.1%,20.8%,15.1%,66.2%,4.5%,85
Russell Westbrook,OKC,29,6-3,200,1,4,6,29.3,12.0,7.5,-8.2,4.8%,27.1%,38.2%,49.3%,39.1%,75
Ryan Anderson,HOU,30,6-10,240,1,21,9,2.1,1.3,0.7,-15.6,3.8%,13.0%,11.4%,52.8%,10.3%,72
Semi Ojeleye,BOS,23,6-7,235,2,37,16,1.9,1.7,0.1,-6.7,2.0%,11.9%,7.5%,44.0%,1.3%,79
Serge Ibaka,TOR,28,6-10,235,1,24,10,8.7,5.9,1.1,3.2,6.4%,22.1%,17.0%,53.3%,5.9%,72
Shabazz Muhammad,MIL,25,6-6,221,1,14,4,6.3,1.0,0.0,12.2,0.0%,15.4%,40.1%,56.3%,0.0%,78
Shabazz Napier,POR,26,6-1,175,1,24,2,5.5,1.0,1.5,3.4,0.0%,6.3%,21.7%,46.3%,14.3%,73
Shane Larkin,BOS,25,5-11,175,1,18,11,3.7,1.0,1.8,-4.0,0.7%,8.5%,12.8%,55.1%,21.5%,61
Shaun Livingston,GSW,32,6-7,192,1,4,13,7.2,2.3,1.8,11.4,4.0%,10.5%,18.7%,53.3%,14.2%,79
Solomon Hill,NOP,27,6-7,225,1,23,9,3.7,1.9,0.8,-3.5,5.8%,10.6%,13.6%,56.1%,8.0%,79
Stephen Curry,GSW,30,6-3,190,1,7,7,23.9,5.7,4.3,12.3,2.3%,17.2%,28.5%,61.7%,19.9%,75
Sterling Brown,MIL,23,6-6,230,2,46,3,2.3,0.7,0.0,8.2,7.7%,10.0%,19.2%,70.0%,0.0%,78
Steven Adams,OKC,24,7-0,255,1,12,6,10.5,7.5,1.5,-5.2,10.3%,13.3%,12.0%,60.9%,6.9%,84
T.J. McConnell,PHI,26,6-2,190,Undrafted,Undrafted,10,5.5,2.6,2.3,11.5,4.5%,12.0%,12.4%,72.0%,22.5%,74
TJ Leaf,IND,21,6-10,230,1,18,1,0.0,0.0,0.0,97.9,0.0%,0.0%,0.0%,0.0%,0.0%,72
Taj Gibson,MIN,32,6-9,235,1,26,5,6.2,4.0,0.4,-11.8,6.7%,10.6%,10.6%,66.5%,2.6%,81
Tarik Black,HOU,26,6-9,250,Undrafted,Undrafted,7,0.3,0.9,0.3,-39.1,11.8%,22.2%,12.0%,25.0%,15.4%,81
Terrance Ferguson,OKC,20,6-7,184,1,21,3,1.0,0.3,0.3,65.3,33.3%,0.0%,7.0%,150.0%,11.1%,79
Terry Rozier,BOS,24,6-2,190,1,16,16,17.1,5.4,5.8,2.0,1.6%,15.8%,20.7%,55.9%,25.1%,74
Thaddeus Young,IND,29,6-8,230,1,12,7,11.3,7.7,1.4,1.2,12.1%,15.4%,14.4%,60.1%,6.5%,80
Thon Maker,MIL,21,7-1,223,1,10,6,5.5,3.8,0.8,16.3,6.2%,15.9%,13.2%,53.1%,5.2%,85
Tim Frazier,WAS,27,6-1,170,Undrafted,Undrafted,2,0.0,0.5,1.5,-28.6,0.0%,20.0%,7.2%,0.0%,60.0%,73
Tomas Satoransky,WAS,26,6-7,210,2,32,6,1.2,1.5,0.5,-7.2,9.1%,7.1%,12.8%,23.7%,7.0%,79
